precinct,dist10,dist12
270270055,09B,04B
270270085,09B,04B
270270090,09B,04B
270270095,09B,04B
270270105,09B,04B
270270110,09B,04B
270270115,09B,04B
270270120,09B,04B
270270125,09B,04B
270270130,09B,04B
270270135,09B,04B
270270145,09B,04B
270270212,09B,04A
270270215,09B,04A
270270230,09B,04B
270270235,09B,04B
270270240,09B,04B
270270245,09B,04B
270270255,09B,04B
271550005,09B,12A
271550010,09B,12A
271550015,09B,12A
271550020,09B,12A
271550025,09B,12A
271550027,09B,12A
271550030,09B,12A
271550035,09B,12A
271550040,09B,12A
271550045,09B,12A
271550050,09B,12A
271550055,09B,12A
271550060,09B,12A
271550065,09B,12A
271550070,09B,12A
271550075,09B,12A
271550080,09B,12A
271550085,09B,12A
271550090,09B,12A
271550095,09B,12A
271670005,09B,12A
271670010,09B,12A
271670015,09B,12A
271670020,09B,12A
271670025,09B,12A
271670030,09B,12A
271670035,09B,12A
271670040,09B,12A
271670050,09B,12A
271670055,09B,12A
271670060,09B,12A
271670065,09B,12A
271670070,09B,12A
271670072,09B,12A
271670075,09B,12A
271670080,09B,12A
271670085,09B,12A
271670090,09B,12A
271670095,09B,12A
271670100,09B,12A
271670105,09B,12A
271670110,09B,12A
271670113,09B,12A
271670115,09B,12A
271670120,09B,12A
271670125,09B,12A
271670130,09B,12A
271670135,09B,12A
271670140,09B,12A
271670145,09B,12A
271670147,09B,12A
271670150,09B,12A
271670155,09B,12A
270050055,09B,04B
270050075,09B,04B
271110005,10A,08A
271110010,10A,08A
271110015,10A,08A
271110020,10A,08A
271110040,10A,08A
271110050,10A,08A
271110055,10A,08A
271110060,10A,08B
271110065,10A,08B
271110080,10A,08A
271110085,10A,08A
271110090,10A,08A
271110110,10A,08A
271110115,10A,08A
271110120,10A,08B
271110140,10A,08A
271110145,10A,08A
271110155,10A,08A
271110160,10A,08A
271110165,10A,08A
271110170,10A,08A
271110175,10A,08A
271110180,10A,08A
271110185,10A,08A
271110190,10A,08A
271110195,10A,08A
271110200,10A,08A
271110205,10A,08A
271110210,10A,08A
271110220,10A,08A
271110265,10A,08B
271110270,10A,08A
271110275,10A,08A
271110280,10A,08A
271110295,10A,08B
271110300,10A,08A
271110310,10A,08A
271110315,10A,08A
271110350,10A,08A
271110355,10A,08A
271110380,10A,08A
271110390,10A,08A
271110395,10A,08A
271110400,10A,08A
271110405,10A,08A
271110410,10A,08B
271110415,10A,08A
271110420,10A,08A
271110425,10A,08A
271110430,10A,08B
271110435,10A,08A
271110440,10A,08B
271110450,10A,08A
270050180,10B,02B
270050205,10B,02B
270050215,10B,02B
270050235,10B,02B
270050240,10B,02B
270050090,10B,02B
270050105,10B,02B
271110025,10B,08B
271110030,10B,08B
271110035,10B,08B
271110045,10B,02B
271110070,10B,08B
271110075,10B,02B
271110095,10B,08B
271110100,10B,08B
271110105,10B,08A
271110125,10B,08B
271110130,10B,08A
271110135,10B,08B
271110150,10B,08B
271110215,10B,08B
271110225,10B,08B
271110230,10B,08A
271110235,10B,08B
271110240,10B,08B
271110245,10B,08A
271110250,10B,08B
271110255,10B,08B
271110260,10B,08B
271110285,10B,08B
271110290,10B,08B
271110305,10B,08B
271110320,10B,08B
271110325,10B,08B
271110330,10B,08B
271110335,10B,02B
271110340,10B,08B
271110345,10B,08B
271110360,10B,08A
271110365,10B,08A
271110370,10B,08B
271110375,10B,08B
271110385,10B,08B
271110445,10B,08B
271110455,10B,08B
271590005,10B,09A
271590010,10B,09A
271590015,10B,02B
271590020,10B,09A
271590025,10B,02B
271590030,10B,09A
271590035,10B,09A
271590040,10B,09A
271590045,10B,02B
271590050,10B,09A
271590055,10B,09A
271590060,10B,09A
271590065,10B,09A
271590070,10B,09A
271590075,10B,09A
271590080,10B,02B
271590085,10B,09A
271590090,10B,09A
271590095,10B,09A
271590100,10B,09A
271590105,10B,09A
271590110,10B,09A
271590120,10B,09A
271590125,10B,09A
270410005,11A,08B
270410010,11A,08B
270410015,11A,08B
270410020,11A,08B
270410025,11A,08B
270410040,11A,12A
270410045,11A,12A
270410060,11A,12A
270410065,11A,12A
270410070,11A,12B
270410075,11A,12B
270410080,11A,12A
270410085,11A,12B
270410095,11A,12A
270410100,11A,12B
270410105,11A,12B
270410110,11A,08B
270410115,11A,12A
270410120,11A,12A
270410125,11A,12A
270410140,11A,12A
270410165,11A,12A
270410175,11A,12A
270510005,11A,12A
270510010,11A,12A
270510015,11A,12A
270510020,11A,12A
270510025,11A,12A
270510030,11A,12A
270510035,11A,12A
270510040,11A,12A
270510045,11A,12A
270510050,11A,12A
270510055,11A,12A
270510060,11A,12A
270510065,11A,12A
270510070,11A,12A
270510075,11A,12A
270510080,11A,12A
270510085,11A,12A
270510090,11A,12A
270510095,11A,12A
270510100,11A,12A
270510105,11A,12A
270510110,11A,12A
270510115,11A,12A
271490005,11A,12A
271490010,11A,12A
271490015,11A,12A
271490020,11A,12A
271490025,11A,12A
271490030,11A,12A
271490035,11A,12A
271490040,11A,12A
271490045,11A,12A
271490050,11A,12A
271490055,11A,12A
271490060,11A,12A
271490065,11A,12A
271490072,11A,12A
271490073,11A,12A
271490075,11A,12A
271490076,11A,12A
271490080,11A,12A
271490081,11A,12A
271490085,11A,12A
271490090,11A,12A
271490095,11A,12A
